Report,SSRS_Visual_Status_indicator_StateName,SSRS_Visual_Status_indicator_Red_StartValue,SSRS_Visual_Status_indicator_Red_EndValue,SSRS_Visual_Status_indicator_Green_StartValue,SSRS_Visual_Status_indicator_Green_EndValue,ReportStatus,ReportNote,MinOfLastUpdated,Refresh_Date
All Brands - Current Inventory by Brand(New),Green,0,0,1,1,Green,Report is fine.,11/29/2019 2:24:41 PM,4/14/2020 6:15:39 PM

Brand,SKU,Stock,InventoryDate,IsDropShip
BAL,2808209,119,2020-04-14 16:00:00,No
BAL,4001601,119,2020-04-14 16:00:00,No
BAL,4001908,119,2020-04-14 16:00:00,Yes
BAL,4002591,118,2020-04-14 16:00:00,No
BAL,4002908,118,2020-04-14 16:00:00,No
BAL,2807706,116,2020-04-14 16:00:00,No
BAL,2808603,116,2020-04-14 16:00:00,No
BAL,2808269,115,2020-04-14 16:00:00,No
BAL,4002453,115,2020-04-14 16:00:00,No
BAL,2807698,115,2020-04-14 16:00:00,No
BAL,2808565,115,2020-04-14 16:00:00,No
BAL,4002531,114,2020-04-14 16:00:00,No
BAL,4001546,113,2020-04-14 16:00:00,No
BAL,4001548,113,2020-04-14 16:00:00,No
BAL,4002328,113,2020-04-14 16:00:00,No
BAL,2808407,113,2020-04-14 16:00:00,No
BAL,5021027,112,2020-04-14 16:00:00,No
BAL,4001655,112,2020-04-14 16:00:00,No
BAL,4002544,112,2020-04-14 16:00:00,No
BAL,2808825,111,2020-04-14 16:00:00,No
BAL,2804831,111,2020-04-14 16:00:00,No
BAL,4001086,110,2020-04-14 16:00:00,No
BAL,2807682,110,2020-04-14 16:00:00,No
BAL,4002716,110,2020-04-14 16:00:00,No
BAL,4001906,109,2020-04-14 16:00:00,Yes
BAL,4002847,109,2020-04-14 16:00:00,No
BAL,4001839,109,2020-04-14 16:00:00,No
BAL,5020953,109,2020-04-14 16:00:00,No
BAL,4001569,108,2020-04-14 16:00:00,No
BAL,4002590,108,2020-04-14 16:00:00,No
BAL,2808191,107,2020-04-14 16:00:00,No
BAL,2801430,107,2020-04-14 16:00:00,No
BAL,2808413,107,2020-04-14 16:00:00,No
BAL,4002477,106,2020-04-14 16:00:00,No
BAL,4002002,106,2020-04-14 16:00:00,Yes
BAL,4002035,106,2020-04-14 16:00:00,No
BAL,4002253,106,2020-04-14 16:00:00,No
BAL,4001162,105,2020-04-14 16:00:00,No
BAL,4002040,105,2020-04-14 16:00:00,No
BAL,4002950,105,2020-04-14 16:00:00,No
BAL,2808196,104,2020-04-14 16:00:00,No
BAL,4001644,104,2020-04-14 16:00:00,No
BAL,4002875,104,2020-04-14 16:00:00,No
BAL,4002989,104,2020-04-14 16:00:00,No
BAL,4001571,104,2020-04-14 16:00:00,No
BAL,4002804,104,2020-04-14 16:00:00,No
BAL,2807859,103,2020-04-14 16:00:00,No
BAL,4002940,102,2020-04-14 16:00:00,No
BAL,5023599,102,2020-04-14 16:00:00,No
BAL,2806304,102,2020-04-14 16:00:00,No
BAL,4003109,102,2020-04-14 16:00:00,No
BAL,4001274,101,2020-04-14 16:00:00,No
BAL,4002043,101,2020-04-14 16:00:00,No
BAL,4002731,101,2020-04-14 16:00:00,No
BAL,2808420,101,2020-04-14 16:00:00,No
